X,Y,OBJECTID,school_ID,school_name,mapLabel,status,grades,esmshs,siteID,address,zip,Latitude,Longitude
1279943.71988414,255315.149927974,85,279,Wedgwood,Wedgwood,ELEM,K-5,ES,279,2720 NE 85th St.,98115,47.6905438687348,-122.297068434595
1257819.37010406,257367.530009553,86,259,North Beach,North Beach,ELEM,K-5,ES,259,9018 24th Ave. NW,98117,47.6949803248149,-122.387050134211
1260155.07015705,257968.809974983,87,115,Whitman,Whitman,MS,6-8,MS,115,9201 15th Ave. NW,98117,47.6967572665874,-122.377616555873
1274037.94002905,258235.33011122,88,262,Olympic View,Olympic View,ELEM,K-5,ES,262,504 NE 95th St.,98115,47.6982375421292,-122.321272493906
1277433.42011473,258249.080083728,89,268,Sacajawea,Sacajawea,ELEM,K-5,ES,268,9501 20th Ave. NE,98115,47.6984543658781,-122.307487344354
1264277.4999043,261250.829985723,90,276,Viewlands,Viewlands,ELEM,K-5,ES,276,10525 3rd Ave. NW,98177,47.7059786324505,-122.361144077343
1280683.36997963,261536.279874146,91,22,Nathan Hale,Nathan Hale,HS,9-12,HS,22,10750 30th Ave. NE,98125,47.7076344327022,-122.294545354725
1272105.72998272,264341.990141973,92,257,James Baldwin,James Baldwin,ELEM,K-5,ES,257,11725 1st Ave. NE,98125,47.7148729847965,-122.329599675174
1277786.25996022,267449.850067973,93,261,Olympic Hills,Olympic Hills,ELEM,K-5,ES,261,13018 20th Ave. NE,98125,47.7236919872702,-122.306770081246
1266376.49012889,268016.519866392,94,208,Broadview-Thomson K-8,Broadview-Thomson K-8,ELEM,K-8,ES,208,13052 Greenwood Ave. N,98133,47.7246369272307,-122.353163303845
1270397.75997347,268327.269901052,95,20,Ingraham,Ingraham Int'l,HS,9-12,HS,20,1819 N 135th St.,98133,47.7257052137851,-122.336852758689
1288231.26006755,248998.63008073,96,269,Sand Point,Sand Point,ELEM,K-5,ES,269,6208 60th Ave. NE,98115,47.6736573741545,-122.262947830608
1262888.33995298,203870.059904978,97,972,Louisa Boren K-8,Boren STEM K-8,Option ELEM,K-8,ES,119,5950 Delridge Way SW,98106,47.5486253430403,-122.362155538671
1269119.83831672,257104.031520814,98,113,Robert Eagle Staff,Robert Eagle Staff,MS,6-8,MS,136,1330 N 90th St.,98103,47.6948742824787,-122.341150636508
1277445.88006355,230213.140092731,99,109,Meany Middle School,Meany,MS,6-8,MS,139,301 21st Ave. E,98112,47.621608973089,-122.305259279598
1270067.5965918,257113.155518308,100,971,Cascadia,Cascadia,HC,K-5,ES,780,1700 N 90th St.,98103,47.69495013063,-122.337303580803
1282531.86792305,268135.875926897,101,210,Cedar Park,Cedar Park,Option ELEM,K-5,ES,210,13224 37th Ave. NE,98125,47.7258198244075,-122.287545242333
1265680.67393522,234243.291153148,102,365,Interagency at Queen Anne,Queen Anne Gym,NonStandard,9-12,,784,1431 2nd Ave N,98109,47.6320285614994,-122.353279832386
1283463.8867283,253488.276285142,103,287,Decatur,Decatur,HC,1-5,ES,287,7711 43rd Ave NE,98115,47.6857190618027,-122.282638308229
