OBJECTID,ZONEID,Zone,Contract Rezone Number,Ordinance Number,Effective Date,Historic District Overlay,Pedestrian Overlay,Shoreline Overlay,Other District Overlay,Station Area Overlay,Mandatory Housing Affordability Apply (Y/N),Incentive Zoning Apply (Y/N),Mandatory Housing Affordability Tier,Major Institution Name,Class,Category,Detail Code,Detail,Group,Zoning Description,Base Zone,Previous Zone,Previous Contract Rezone Number,Previous Ordinance Number,Previous Effective Date,Previous Historic District Overlay,Previous Pedestrian Overlay,Previous Shoreline Overlay,Previous Other District Overlay,Previous Station Area Overlay,Class Description Popup,Land Use Code Chapter,Land Use Code Chapter Link,Zoning History
21,4516,LR3 (M1), ,125791,4/19/2019 8:00:00 AM, , , , ,BH,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR2, ,123495,4/19/2011 8:00:00 AM, , , , ,BH,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M1),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2,ORD120453,08/30/2001; L-2"
22,4519,LR3 (M), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR3, ,123495,4/19/2011 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M),ORD125791,04/19/2019; LR3,ORD123495,04/19/2011; L-3"
23,4522,LR2 (M), ,125791,4/19/2019 8:00:00 AM, , , , ,BH,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/2011 8:00:00 AM, , , , ,BH,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-1,ORD120453,08/30/2001; L-1"
24,4530,MR (M1), ,125791,4/19/2019 8:00:00 AM, , , , ,MC,Y,N,M1,,Multi-Family,High-Density Multi-Family,MR,Midrise,Midrise,Midrise,MR,MR (2.0), ,124513,8/2/2014 8:00:00 AM, , , , ,MC,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"MR (M1),ORD125791,04/19/2019; MR (2.0),ORD124513,08/02/2014; LR3,ORD123495,04/19/2011; L-3,ORD120455,08/30/2001; L-3"
25,4534,LR3 (M), ,125791,4/19/2019 8:00:00 AM, , , ,SS, ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR3, ,123495,4/19/2011 8:00:00 AM, , , ,SS, ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M),ORD125791,04/19/2019; LR3,ORD123495,04/19/2011; L-3"
26,4536,LR3 (M), ,125791,4/19/2019 8:00:00 AM, , , ,SS,MC,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR3, ,123495,4/19/2011 8:00:00 AM, , , ,SS,MC,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M),ORD125791,04/19/2019; LR3,ORD123495,04/19/2011; L-3,ORD120455,08/30/2001; L-3"
27,4537,LR3 (M), ,125791,4/19/2019 8:00:00 AM, , , , ,MC,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR3, ,123495,4/19/2011 8:00:00 AM, , , , ,MC,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M),ORD125791,04/19/2019; LR3,ORD123495,04/19/2011; L-3,ORD120455,08/30/2001; L-3"
28,4539,LR2 (M), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/2011 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2"
29,4541,LR3 (M1), ,125791,4/19/2019 8:00:00 AM, , , , ,BH,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR3 (1.2), ,123852,5/10/2012 8:00:00 AM, , , , ,BH,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M1),ORD125791,04/19/2019; LR3 (1.2),ORD123852,05/10/2012; LR2,ORD123495,04/19/2011; L-1,ORD120453,08/30/2001; L-1"
30,8699,NR, ,127376,1/21/2026 8:00:00 AM, , , , , ,N,N,,,Neighborhood Residential,Neighborhood Residential,NR,Residential Neighborhood,Neighborhood Residential,Neighborhood Residential,NR,NR3, ,7242,6/27/2025 8:00:00 AM, , , , , ,"is a neighborhood residential zone, which generally allows detached single-family houses, attached and detached accessory dwellings.",Chapter 23.44,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.44NERE,"NR,ORD127376,01/21/2026; NR3,ORD7242,06/27/2025; NR3,ORD126509,06/15/2022; SF 5000; SF 5000,05/01/1994"
