OBJECTID,ZONEID,Zone,Contract Rezone Number,Ordinance Number,Effective Date,Historic District Overlay,Pedestrian Overlay,Shoreline Overlay,Other District Overlay,Station Area Overlay,Mandatory Housing Affordability Apply (Y/N),Incentive Zoning Apply (Y/N),Mandatory Housing Affordability Tier,Major Institution Name,Class,Category,Detail Code,Detail,Group,Zoning Description,Base Zone,Previous Zone,Previous Contract Rezone Number,Previous Ordinance Number,Previous Effective Date,Previous Historic District Overlay,Previous Pedestrian Overlay,Previous Shoreline Overlay,Previous Other District Overlay,Previous Station Area Overlay,Class Description Popup,Land Use Code Chapter,Land Use Code Chapter Link,Zoning History
401,5909,LR2 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
402,7552,LR1 (M1), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD127219,06/27/2025; LR1 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
403,7640,LR1 (M1), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD127219,06/27/2025; LR1 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
404,8148,LR1 (M1), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD127219,06/27/2025; LR1 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
405,8149,LR1 (M1), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD127219,06/27/2025; LR1 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
406,7738,LR1 (M1), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD127219,06/27/2025; LR1 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
407,7936,LR1 (M1), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD127219,06/27/2025; LR1 (M1),ORD125791,04/19/2019; SF 7200; SF 7200,05/01/1994"
408,7838,LR1 (M1), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD127219,06/27/2025; LR1 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
409,5927,LR2 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
410,8249,LR1 (M1), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD127219,06/27/2025; LR1 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
411,5932,LR3 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR2, ,123495,4/19/2011 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M1),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-1"
412,5933,MR (M2), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M2,,Multi-Family,High-Density Multi-Family,MR,Midrise,Midrise,Midrise,MR,LR2, ,123495,4/19/2011 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"MR (M2),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-1"
413,5936,LR2 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
414,7839,LR1 (M1), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD127219,06/27/2025; LR1 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
415,5947,LR3 (M2), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M2,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M2),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
416,7937,LR1 (M1), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD127219,06/27/2025; LR1 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
417,7739,LR1 (M1), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD127219,06/27/2025; LR1 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
418,5446,MR (M2), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M2,,Multi-Family,High-Density Multi-Family,MR,Midrise,Midrise,Midrise,MR,LR2, ,123495,4/19/2011 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"MR (M2),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-1"
419,5447,LR3 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR2, ,123495,4/19/2011 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M1),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-1"
420,5448,LR3 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR2, ,123495,4/19/2011 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M1),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-1"
421,5450,LR3 (M), ,125791,4/19/2019 8:00:00 AM, , , ,NG, ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR3, ,123495,4/19/2011 8:00:00 AM, , , ,NG, ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M),ORD125791,04/19/2019; LR3,ORD123495,04/19/2011; L-3"
422,7553,LR1 (M1), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD127219,06/27/2025; LR1 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
423,7641,LR1 (M1), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD127219,06/27/2025; LR1 (M1),ORD125791,04/19/2019; SF 7200; SF 7200,05/01/1994"
424,5460,LR2 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
425,8150,LR1 (M1), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD127219,06/27/2025; LR1 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
426,5462,LR2 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
427,7642,LR1 (M1), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD127219,06/27/2025; LR1 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
428,7740,LR1 (M1), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD127219,06/27/2025; LR1 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
429,5473,LR2 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
430,5474,LR2 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
431,5476,LR3 RC (M), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M,,Multi-Family/Residential-Commercial,Lowrise Multi-Family,LR3,Lowrise 3 Residential-Commercial,Lowrise 3,Lowrise 3 Residential-Commercial,LR3 RC,LR3 RC, ,123495,4/19/2011 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed with certain commercial uses also allowed.",Chapter 23.46,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.46REOM,"LR3 RC (M),ORD125791,04/19/2019; LR3 RC,ORD123495,04/19/2011; L-3 RC"
432,7938,LR1 (M), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M),ORD127219,06/27/2025; LR1 (M),ORD125791,04/19/2019; LR1,ORD123495,04/19/2011; L-1"
433,7741,LR1 (M), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M),ORD127219,06/27/2025; LR1 (M),ORD125791,04/19/2019; LR1,ORD123495,04/19/2011; LDT"
434,5479,LR2 (M), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/2011 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-2"
435,5480,LR3 RC (M), ,125791,4/19/2019 8:00:00 AM, , ,UC, , ,Y,N,M,,Multi-Family/Residential-Commercial,Lowrise Multi-Family,LR3,Lowrise 3 Residential-Commercial,Lowrise 3,Lowrise 3 Residential-Commercial,LR3 RC,LR3 RC, ,124750,6/15/2015 8:00:00 AM, , ,UC, , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed with certain commercial uses also allowed.",Chapter 23.46,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.46REOM,"LR3 RC (M),ORD125791,04/19/2019; LR3 RC,ORD124750,06/15/2015; LR3 RC,ORD123495,04/19/2011"
436,5481,LR3 (M), ,125791,4/19/2019 8:00:00 AM, , ,UC, , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR3, ,124750,6/15/2015 8:00:00 AM, , ,UC, , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M),ORD125791,04/19/2019; LR3,ORD124750,06/15/2015; LR3,ORD123495,04/19/2011"
437,5484,LR3 (M2), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M2,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M2),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
438,7554,LR1 (M1), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD127219,06/27/2025; LR1 (M1),ORD125791,04/19/2019; SF 5000"
439,5488,LR2 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M1),ORD125791,04/19/2019; SF 5000"
440,5489,LR2 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M1),ORD125791,04/19/2019; SF 5000"
441,8151,LR1 (M1), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD127219,06/27/2025; LR1 (M1),ORD125791,04/19/2019; SF 5000; SF 5000,05/01/1994"
442,8040,LR1 (M1), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M1),ORD127219,06/27/2025; LR1 (M1),ORD125791,04/19/2019; SF 5000"
443,5494,LR2 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,SF 5000, ,0,, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M1),ORD125791,04/19/2019; SF 5000"
444,5496,LR2 (M1), ,125791,4/19/2019 8:00:00 AM, , , ,NG, ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,SF 7200, ,0,, , , ,NG, ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M1),ORD125791,04/19/2019; SF 7200; SF 7200,05/01/1994"
445,5500,LR2 (M), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR1, ,123495,4/19/2011 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR1,ORD123495,04/19/2011; LDT"
446,5501,LR3 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR2, ,123495,4/19/2011 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M1),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-1"
