compkey,unitdesc,onstreet,cluster,cluster_label,street_id,n_neighbors,n_same_cluster,same_cluster_ratio
9638,CEDAR ST BETWEEN ELLIOTT AVE AND WESTERN AVE,CEDAR ST,0.0,Night/weekend intensive streets,311,5.0,3.0,0.6
9670,CHERRY ST BETWEEN MINOR AVE AND BROADWAY,CHERRY ST,1.0,Consistently low occupancy streets,312,3.0,2.0,0.6666666666666666
2755,2ND AVE BETWEEN SENECA ST AND UNIVERSITY ST,2ND AVE,0.0,Night/weekend intensive streets,313,5.0,0.0,0.0
4388,3RD AVE BETWEEN LENORA ST AND BLANCHARD ST,3RD AVE,1.0,Consistently low occupancy streets,314,3.0,0.0,0.0
7242,5TH AVE BETWEEN STEWART ST AND VIRGINIA ST,5TH AVE,0.0,Night/weekend intensive streets,315,4.0,4.0,1.0
7882,6TH AVE BETWEEN UNION ST AND PIKE ST,6TH AVE,0.0,Night/weekend intensive streets,316,4.0,3.0,0.75
9075,BATTERY ST BETWEEN 3RD AVE AND 4TH AVE,BATTERY ST,0.0,Night/weekend intensive streets,317,4.0,1.0,0.25
9412,BROAD ST BETWEEN WESTERN AVE AND 1ST AVE,BROAD ST,0.0,Night/weekend intensive streets,318,4.0,3.0,0.75
7224,5TH AVE BETWEEN TERRACE ST AND JEFFERSON ST,5TH AVE,0.0,Night/weekend intensive streets,319,3.0,1.0,0.3333333333333333
9084,BAY ST BETWEEN WESTERN AVE AND 1ST AVE,BAY ST,0.0,Night/weekend intensive streets,320,3.0,2.0,0.6666666666666666
9668,CHERRY ST BETWEEN TERRY AVE AND BOREN AVE,CHERRY ST,1.0,Consistently low occupancy streets,321,4.0,4.0,1.0
8155,7TH AVE BETWEEN MADISON ST OFF RP AND MADISON ST,7TH AVE,1.0,Consistently low occupancy streets,322,2.0,2.0,1.0
10970,HUBBELL PL BETWEEN 9TH AVE AND PIKE ST,HUBBELL PL,1.0,Consistently low occupancy streets,323,1.0,1.0,1.0
13768,YESLER WAY BETWEEN 8TH AVE AND BROADWAY,YESLER WAY,1.0,Consistently low occupancy streets,324,1.0,1.0,1.0
11581,MADISON ST BETWEEN POST AVE AND 1ST AVE,MADISON ST,2.0,Consistently high occupancy streets,325,1.0,0.0,0.0
11671,MARION ST BETWEEN TERRY AVE AND BOREN AVE,MARION ST,0.0,Night/weekend intensive streets,326,2.0,0.0,0.0
11868,MINOR AVE BETWEEN JAMES ST AND CHERRY ST,MINOR AVE,1.0,Consistently low occupancy streets,327,2.0,2.0,1.0
12784,SENECA ST BETWEEN BOYLSTON AVE AND HARVARD AVE,SENECA ST,0.0,Night/weekend intensive streets,328,4.0,1.0,0.25
12872,SPRING ST BETWEEN SUMMIT AVE AND BOYLSTON AVE,SPRING ST,1.0,Consistently low occupancy streets,329,6.0,6.0,1.0
12983,SUMMIT AVE BETWEEN SENECA ST AND UNIVERSITY ST,SUMMIT AVE,1.0,Consistently low occupancy streets,330,6.0,5.0,0.8333333333333334
13199,UNIVERSITY ST BETWEEN ALASKAN WAY AND WESTERN AVE,UNIVERSITY ST,0.0,Night/weekend intensive streets,331,3.0,1.0,0.3333333333333333
13208,UNIVERSITY ST BETWEEN TERRY AVE AND BOREN AVE,UNIVERSITY ST,1.0,Consistently low occupancy streets,332,3.0,1.0,0.3333333333333333
13312,VIRGINIA ST BETWEEN 3RD AVE AND 4TH AVE,VIRGINIA ST,2.0,Consistently high occupancy streets,333,4.0,2.0,0.5
