compkey,unitdesc,onstreet,blockface_name,weekday_day,weekday_night,weekend_day,weekend_night,combo_class
6136,4TH AVE BETWEEN STEWART ST AND VIRGINIA ST,4TH AVE,4TH AVE BETWEEN STEWART ST AND VIRGINIA ST,Under-saturated,Under-saturated,Under-saturated,Optimal,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Optimal
6137,4TH AVE BETWEEN VIRGINIA ST AND LENORA ST,4TH AVE,4TH AVE BETWEEN VIRGINIA ST AND LENORA ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
6138,4TH AVE BETWEEN LENORA ST AND BLANCHARD ST,4TH AVE,4TH AVE BETWEEN LENORA ST AND BLANCHARD ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
6141,4TH AVE BETWEEN BATTERY ST AND WALL ST,4TH AVE,4TH AVE BETWEEN BATTERY ST AND WALL ST,Under-saturated,Under-saturated,Under-saturated,Optimal,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Optimal
6142,4TH AVE BETWEEN WALL ST AND VINE ST,4TH AVE,4TH AVE BETWEEN WALL ST AND VINE ST,Under-saturated,Under-saturated,Under-saturated,Optimal,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Optimal
6143,4TH AVE BETWEEN VINE ST AND CEDAR ST,4TH AVE,4TH AVE BETWEEN VINE ST AND CEDAR ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
6144,4TH AVE BETWEEN CEDAR ST AND CLAY ST,4TH AVE,4TH AVE BETWEEN CEDAR ST AND CLAY ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
7223,5TH AVE BETWEEN 5TH AVE S AND TERRACE ST,5TH AVE,YESLER WAY BETWEEN TERRACE ST AND 6TH AVE,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
7224,5TH AVE BETWEEN TERRACE ST AND JEFFERSON ST,5TH AVE,5TH AVE BETWEEN TERRACE ST AND JEFFERSON ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
7229,5TH AVE BETWEEN MARION ST AND MADISON ST,5TH AVE,5TH AVE BETWEEN MARION ST AND MADISON ST,Under-saturated,Under-saturated,Under-saturated,Under-saturated,weekday_day Under-saturated | weekday_night Under-saturated | weekend_day Under-saturated | weenend_night: Under-saturated
