overall_mean_occupancy,all_rate_mean_ps,parking_spaces,paystation_count,street_width,speed_limit,building_coverage_ratio,commercial_mixed_share,residential_share,transport_parking_share,one_way_Y,artdescript_Interstate/Freeway,artdescript_Minor Arterial,artdescript_Not Designated,artdescript_Principal Arterial,artdescript_State Route/Freeway
0.3888986111111111,3.5,8.0,2.0,44.0,25.0,0.2502855792631413,0.6251435199853373,0.02065023003376852,0.0,False,False,True,False,False,False
0.40405468749999995,3.5,5.5,2.0,52.0,25.0,0.4031852057187131,0.35645079008598207,0.0,0.0,False,False,True,False,False,False
0.3917133662085849,4.833333333333333,6.0,2.0,52.0,25.0,0.3814420939212983,0.8918134105773008,0.0,0.0,False,False,True,False,False,False
0.3578019100169779,4.833333333333333,5.0,1.0,52.0,25.0,0.39440958569681545,0.5536107254734802,0.0,0.0,False,False,True,False,False,False
0.3939038861701905,4.833333333333333,7.5,2.0,52.0,25.0,0.40075134806458373,0.7715151791843589,0.0,0.0,False,False,True,False,False,False
0.563492626648161,3.5,11.0,1.0,48.0,25.0,0.33609103304736215,0.9550439928718094,0.0,0.0,False,False,True,False,False,False
0.7436697530864197,3.5,3.0,1.0,52.0,25.0,0.3934942794971601,0.8222768481532696,0.0361321023513186,0.0,False,False,True,False,False,False
0.41576527316352896,3.5,7.0,1.0,52.0,25.0,0.42868076674061717,0.7114750835748508,0.2885249164251492,0.0,False,False,True,False,False,False
0.6246068044788975,3.5,6.0,1.0,104.0,25.0,0.41508351492006046,0.9667481116880315,0.03325188831196844,0.0,False,False,True,False,False,False
0.5546840277777778,3.5,4.0,1.0,52.0,25.0,0.36391518560602426,0.8368949526325092,0.1631050473674908,0.0,False,False,True,False,False,False
0.597715973466189,1.5,10.0,1.0,52.0,25.0,0.43625414394041206,0.7531297759542692,0.24687022404573078,0.0,False,False,True,False,False,False
0.49421266234798256,1.5,8.5,2.0,52.0,25.0,0.4247642862870655,0.4994862988797765,0.5005137011202235,0.0,False,False,True,False,False,False
0.5982617548615998,1.5,9.0,2.0,52.0,25.0,0.3766109869201414,0.820251829988855,0.17974817001114507,0.0,False,False,True,False,False,False
0.3241868394800358,1.5,12.5,2.0,52.0,25.0,0.361465232641936,0.8201628819634751,0.17983711803652494,0.0,False,False,True,False,False,False
0.5399408873894638,1.0,8.0,2.0,52.0,25.0,0.32582044360331197,0.7772330294550519,0.1609301050546695,0.0,False,False,True,False,False,False
0.6548434236855445,1.0,7.0,2.0,52.0,25.0,0.3405727825847072,0.9461024903947023,0.0,0.0,False,False,True,False,False,False
0.3589436226409786,1.0,5.75,2.0,52.0,25.0,0.3448849804267749,0.9460456046529542,0.0,0.0,False,False,True,False,False,False
