compkey,unitdesc,onstreet,blockface_name,weekday_day,weekday_night,weekend_day,weekend_night,cluster,cluster_label
9661,CHERRY ST BETWEEN 3RD AVE AND 4TH AVE,CHERRY ST,CHERRY ST BETWEEN 3RD AVE AND 4TH AVE,0.43147608249649066,0.1804735114861697,0.16246296296296298,0.0955324074074074,1,Consistently low occupancy streets
9662,CHERRY ST BETWEEN 4TH AVE AND 5TH AVE,CHERRY ST,CHERRY ST BETWEEN 4TH AVE AND 5TH AVE,0.32640099626401,0.07020316804407714,0.08378787878787879,0.2761363636363636,1,Consistently low occupancy streets
9665,CHERRY ST BETWEEN 7TH AVE AND 8TH AVE,CHERRY ST,CHERRY ST BETWEEN 7TH AVE AND 8TH AVE,0.044572657590051454,0.05546875,0.059027777777777776,0.07083333333333333,1,Consistently low occupancy streets
9666,CHERRY ST BETWEEN 8TH AVE AND 9TH AVE,CHERRY ST,CHERRY ST BETWEEN 8TH AVE AND 9TH AVE,0.030182431393797296,0.0488095238095238,0.04757142857142857,0.042142857142857135,1,Consistently low occupancy streets
9667,CHERRY ST BETWEEN 9TH AVE AND TERRY AVE,CHERRY ST,CHERRY ST BETWEEN 9TH AVE AND TERRY AVE,0.12973443223443223,0.0984985620598828,0.16919444444444445,0.15437499999999998,1,Consistently low occupancy streets
9668,CHERRY ST BETWEEN TERRY AVE AND BOREN AVE,CHERRY ST,CHERRY ST BETWEEN TERRY AVE AND BOREN AVE,0.08282068197584919,0.04245559407635679,0.11637517046561464,0.0285824345146379,1,Consistently low occupancy streets
9669,CHERRY ST BETWEEN BOREN AVE AND MINOR AVE,CHERRY ST,CHERRY ST BETWEEN BOREN AVE AND MINOR AVE,0.1350277923583973,0.19170770787653907,0.11381818181818183,0.23181818181818184,1,Consistently low occupancy streets
9670,CHERRY ST BETWEEN MINOR AVE AND BROADWAY,CHERRY ST,CHERRY ST BETWEEN MINOR AVE AND BROADWAY,0.20472431296474639,0.17327309737454302,0.21468691148775892,0.11180555555555555,1,Consistently low occupancy streets
9682,CLAY ST BETWEEN ELLIOTT AVE AND WESTERN AVE,CLAY ST,CLAY ST BETWEEN ELLIOTT AVE AND WESTERN AVE,0.2789984733475602,0.35614903449302426,0.27076470588235296,0.4585893246187364,0,Night/weekend intensive streets
9683,CLAY ST BETWEEN WESTERN AVE AND 1ST AVE,CLAY ST,CLAY ST BETWEEN WESTERN AVE AND 1ST AVE,0.15343867988838866,0.25969981527093594,0.29114285714285715,0.4309523809523809,0,Night/weekend intensive streets
